Year,Total donations
1977,142.4
1978,144.93
1979,145.6
1980,144.65
1981,149.03
1982,150.15
1983,155.56
1984,161.82
1985,163.36
1986,186.17
1987,177.33
1988,182.49
1989,194.37
1990,184.75
1991,184.62
1992,194.41
1993,197.82
1994,198.53
1995,198.02
1996,217.05
1997,248.09
1998,265.5
1999,299
2000,326.91
2001,321.29
2002,317.13
2003,316.4
2004,337.75
2005,367.04
2006,360.02
2007,367.74
2008,341.1
2009,313.95
2010,323.92
2011,325.28
2012,355.1
2013,349.89
2014,370.24
2015,388.91
2016,397.94
2017,410.02
